"","mean.diff","mean.1","mean.2","t","df","p.val","p.val.adj","description","cell.up","ligand.up","receptor.in.path","ligand.in.path"
"Hormone.secretion",-0.105362509129427,-0.019971229096209,0.0853912800332177,-19.6942856437541,419.080144894255,1.33209668902645e-61,2.46175466921399e-61,"Hormone secretion","6;6;8;10;11;15","Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1",NA
"Regulation.of.hormone.secretion",-0.133354433194135,-0.0531513441804263,0.0802030890137084,-22.3041203285489,418.889737046784,3.29493679920361e-73,7.39296753352063e-73,"Regulation of hormone secretion","6;6;8;10;11;15","Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1",NA
"Secretion",-0.0586744127074599,-0.0476627772407984,0.0110116354666615,-15.1788243490909,405.583425028992,1.57830643545988e-41,2.33779223898945e-41,"Secretion","6;6;6;8;10;11;15","Sult5a1;Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Nrn1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1",NA
"Regulation.of.neurotransmitter.secretion",-0.132671127982592,0.133366090026257,0.266037218008849,-12.7683032684559,388.882241973005,2.01309095750995e-31,2.7463914032511e-31,"Regulation of neurotransmitter secretion","6;6;6;8;10;11;15","Sult5a1;Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Nrn1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1",NA
"Inositol.phosphate.mediated.signaling",0.0184625569494981,0.0769152472346745,0.0584526902851764,1.78327273281247,376.820713851652,0.0753467025550215,0.0777136146771688,"Inositol phosphate-mediated signaling","1;10;15","Adgrl2;Adgrl2;Adgrl2","Rcan1;Rcan1;Rcan1",NA
"Male.gamete.generation",0.0287415997095814,0.150431707585605,0.121690107876024,4.31713427571726,377.45487827035,2.02234608538225e-05,2.2084377983387e-05,"Male gamete generation","6;6;8;10;11;15","Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1","Prdx4"
"Lung.alveolus.development",0.313764788499291,0.12828257091426,-0.185482217585031,24.5048467236359,385.034173829011,1.36983672448323e-80,3.44206421840812e-80,"Lung alveolus development","6;10;15","Hspa1b;Hspa1b;Hspa1b","Gata6;Gata6;Gata6",NA
"Cell.development",0.166484705096669,0.099915260177167,-0.0665694449195016,39.6198435139961,408.905310586582,4.44880573523324e-142,4.42633701939873e-141,"Cell development","1;10;15;2;3;4;6;6;11;6;6;6;8;10;11;15;6","Adgrl2;Adgrl2;Adgrl2;Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8;Sult5a1;Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4;Dkk3","Rcan1;Rcan1;Rcan1;Itga8;Itga8;Itga8;Itga8;Itga8;Itga8;Nrn1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Lgals1","Itga8;Dact1;Npy"
"Animal.organ.development",0.187272480916231,0.0737266927858393,-0.113545788130392,44.5960522875067,376.107151769492,3.08934814261338e-152,5.24656538012789e-151,"Animal organ development","6;10;15;1;10;15;2;3;4;6;6;11;6","Hspa1b;Hspa1b;Hspa1b;Adgrl2;Adgrl2;Adgrl2;Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8;Dkk3","Gata6;Gata6;Gata6;Rcan1;Rcan1;Rcan1;Itga8;Itga8;Itga8;Itga8;Itga8;Itga8;Lgals1","Itga8;Dact1;Kcnk2;Prdx4;Npy"
"Blood.vessel.morphogenesis",0.184115786245568,0.0259414180062659,-0.158174368239302,35.2347672783326,458.199632396588,1.61872751222596e-132,1.20791409056255e-131,"Blood vessel morphogenesis","6;10;15","Hspa1b;Hspa1b;Hspa1b","Gata6;Gata6;Gata6","Rhob"
"Positive.regulation.of.biological.process",0.0780257819246037,-0.0409606920805377,-0.118986474005141,29.1877166274617,402.001318329236,2.3980635515981e-101,8.55830651566714e-101,"Positive regulation of biological process","6;10;15;6;6;9;10;14;15;2;3;4;6;6;11;6;6;8;10;11;15;6","Hspa1b;Hspa1b;Hspa1b;Dact1;Gbp6;Gbp6;Gbp6;Gbp6;Gbp6;Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8;Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4;Dkk3","Gata6;Gata6;Gata6;Pcbd1;C2;C2;C2;C2;C2;Itga8;Itga8;Itga8;Itga8;Itga8;Itga8;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Lgals1","Itga8;Rhob;Ccl8;Hspa1b;Dact1;Kcnk2;Npy"
"Negative.regulation.of.biological.process",0.105597544491307,-0.00125593185635837,-0.106853476347666,32.586096064986,439.004774155753,2.94675070177108e-119,1.51965939332173e-118,"Negative regulation of biological process","6;10;15;1;10;15;10;15;6;6;8;10;11;15;6","Hspa1b;Hspa1b;Hspa1b;Adgrl2;Adgrl2;Adgrl2;Ramp2;Ramp2;Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4;Dkk3","Gata6;Gata6;Gata6;Rcan1;Rcan1;Rcan1;Pmepa1;Pmepa1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Lgals1","Dkk3;Rhob;Hspa1b;Dact1;Kcnk2;Prdx4"
"Positive.regulation.of.cellular.process",0.0764394993336061,-0.0383876827989072,-0.114827182132513,27.7934746807008,417.596056798983,5.2435878178115e-97,1.71592491712436e-96,"Positive regulation of cellular process","6;10;15;6;6;9;10;14;15;2;3;4;6;6;11;6;6;8;10;11;15;6","Hspa1b;Hspa1b;Hspa1b;Dact1;Gbp6;Gbp6;Gbp6;Gbp6;Gbp6;Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8;Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4;Dkk3","Gata6;Gata6;Gata6;Pcbd1;C2;C2;C2;C2;C2;Itga8;Itga8;Itga8;Itga8;Itga8;Itga8;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Lgals1","Itga8;Rhob;Ccl8;Hspa1b;Dact1;Kcnk2"
"Negative.regulation.of.cellular.process",0.120841163690693,0.017432189365572,-0.103408974325121,34.7174913165014,429.877790289315,8.68584603952675e-127,5.31631572745233e-126,"Negative regulation of cellular process","6;10;15;1;10;15;10;15;6;6;8;10;11;15;6","Hspa1b;Hspa1b;Hspa1b;Adgrl2;Adgrl2;Adgrl2;Ramp2;Ramp2;Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4;Dkk3","Gata6;Gata6;Gata6;Rcan1;Rcan1;Rcan1;Pmepa1;Pmepa1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Lgals1","Dkk3;Rhob;Hspa1b;Dact1;Kcnk2;Prdx4"
"Hematopoietic.or.lymphoid.organ.development",-0.0497808696950072,-0.186770908651139,-0.136990038956131,-14.6109158147021,482.194913698203,2.72902742119282e-40,3.98235853314805e-40,"Hematopoietic or lymphoid organ development","6","Dkk3","Lgals1",NA
"Embryonic.organ.morphogenesis",0.217931183412475,0.22032602452956,0.00239484111708515,30.582848278053,374.474673568256,7.44938474833531e-104,2.77941059739026e-103,"Embryonic organ morphogenesis","2;3;4;6;6;11","Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8","Itga8;Itga8;Itga8;Itga8;Itga8;Itga8","Itga8"
"Digestive.tract.development",0.138365032377801,0.132180258239236,-0.00618477413856503,21.0664262326041,407.600133225936,3.48445920989041e-67,6.91974258415736e-67,"Digestive tract development","6;10;15","Hspa1b;Hspa1b;Hspa1b","Gata6;Gata6;Gata6","Dact1"
"Embryonic.organ.development",0.231941976053323,0.200532002429774,-0.0314099736235486,34.6687742262579,368.913438466471,4.11661880703592e-118,2.04791390147999e-117,"Embryonic organ development","2;3;4;6;6;11","Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8","Itga8;Itga8;Itga8;Itga8;Itga8;Itga8","Itga8"
"Regulation.of.response.to.stimulus",0.0365881830461209,-0.0900926716385572,-0.126680854684678,15.1800471623915,413.114721449072,1.12282592599859e-41,1.66815013138553e-41,"Regulation of response to stimulus","6;10;15;1;10;15;6;9;10;14;15;2;3;4;6;6;11;10;15;6;6;8;10;11;15","Hspa1b;Hspa1b;Hspa1b;Adgrl2;Adgrl2;Adgrl2;Gbp6;Gbp6;Gbp6;Gbp6;Gbp6;Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8;Ramp2;Ramp2;Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Gata6;Gata6;Gata6;Rcan1;Rcan1;Rcan1;C2;C2;C2;C2;C2;Itga8;Itga8;Itga8;Itga8;Itga8;Itga8;Pmepa1;Pmepa1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1","Dkk3;Itga8;Ccl8;Dact1;Kcnk2;Npy"
"Positive.regulation.of.response.to.stimulus",0.00927110216401911,-0.113718021608985,-0.122989123773004,3.70205953967521,427.66967621441,0.000241827110339495,0.000261183885618863,"Positive regulation of response to stimulus","6;10;15;6;9;10;14;15;2;3;4;6;6;11;6;6;8;10;11;15","Hspa1b;Hspa1b;Hspa1b;Gbp6;Gbp6;Gbp6;Gbp6;Gbp6;Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8;Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Gata6;Gata6;Gata6;C2;C2;C2;C2;C2;Itga8;Itga8;Itga8;Itga8;Itga8;Itga8;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1","Itga8;Ccl8;Dact1;Kcnk2;Npy"
"Negative.regulation.of.response.to.stimulus",0.111263846008152,0.013245579919953,-0.0980182660881986,29.9050366637312,398.049876219641,7.77284024673586e-104,2.8891500539754e-103,"Negative regulation of response to stimulus","1;10;15;10;15","Adgrl2;Adgrl2;Adgrl2;Ramp2;Ramp2","Rcan1;Rcan1;Rcan1;Pmepa1;Pmepa1","Dkk3;Dact1"
"Developmental.cell.growth",0.212583914931077,0.0753343620348268,-0.13724955289625,24.6539078422205,375.771294926563,1.59465702501911e-80,3.99678669120565e-80,"Developmental cell growth","6","Sult5a1","Nrn1",NA
"Developmental.growth",0.254709117500818,0.176871894283168,-0.0778372232176497,40.4259334942611,376.374680198853,5.15717240896724e-139,4.61801347530248e-138,"Developmental growth","6;10;15;6","Hspa1b;Hspa1b;Hspa1b;Sult5a1","Gata6;Gata6;Gata6;Nrn1","Kcnk2"
"Embryonic.morphogenesis",0.282109462684712,0.223755881362021,-0.0583535813226911,41.0554390542757,363.457659025814,1.47547816960302e-138,1.28614690005219e-137,"Embryonic morphogenesis","6;10;15;2;3;4;6;6;11","Hspa1b;Hspa1b;Hspa1b;Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8","Gata6;Gata6;Gata6;Itga8;Itga8;Itga8;Itga8;Itga8;Itga8","Itga8;Dact1"
"Reproductive.structure.development",0.283028838600771,0.185627489296151,-0.0974013493046201,45.1681655301447,379.891788621981,7.95776991659597e-155,1.59967415670348e-153,"Reproductive structure development","6;10;15","Hspa1b;Hspa1b;Hspa1b","Gata6;Gata6;Gata6","Prdx4"
"Multicellular.organismal.reproductive.process",0.154543859335983,0.157820757685724,0.00327689834974088,28.5954207724803,378.136217477914,1.43380020498518e-96,4.64570132207371e-96,"Multicellular organismal reproductive process","6;6;8;10;11;15","Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1","Prdx4"
"Regulation.of.developmental.growth",0.170057068960144,0.02995448827668,-0.140102580683464,24.006765181633,391.026427283573,6.40709949064344e-79,1.57381371528274e-78,"Regulation of developmental growth","6;10;15","Hspa1b;Hspa1b;Hspa1b","Gata6;Gata6;Gata6","Kcnk2"
"Positive.regulation.of.developmental.growth",0.178236291363513,0.0541209761751676,-0.124115315188345,22.9238691261417,383.376094693309,7.37389750840123e-74,1.66972161971844e-73,"Positive regulation of developmental growth","6;10;15","Hspa1b;Hspa1b;Hspa1b","Gata6;Gata6;Gata6",NA
"Animal.organ.formation",0.287976654397426,0.27492782122174,-0.0130488331756862,22.9302083700974,382.865866260879,7.46132077870378e-74,1.68564242362918e-73,"Animal organ formation","6;10;15","Hspa1b;Hspa1b;Hspa1b","Gata6;Gata6;Gata6",NA
"Anatomical.structure.formation.involved.in.morphogenesis",0.166370440740477,0.0479665154298202,-0.118403925310657,36.3089754409958,445.533665518502,3.2923300406791e-135,2.55350007092041e-134,"Anatomical structure formation involved in morphogenesis","6;10;15","Hspa1b;Hspa1b;Hspa1b","Gata6;Gata6;Gata6","Rhob;Ccl8"
"Neuron.development",0.239211315232802,0.173786657878285,-0.0654246573545164,39.9565615480496,372.847942197371,8.21435636293999e-137,6.91550514315888e-136,"Neuron development","6;6;6;8;10;11;15;6","Sult5a1;Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4;Dkk3","Nrn1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Lgals1","Dact1;Npy"
"Cell.morphogenesis.involved.in.neuron.differentiation",0.188707415270405,0.0842452816131251,-0.10446213365728,25.8595947500735,380.467333910397,8.01768756948589e-86,2.23091024179198e-85,"Cell morphogenesis involved in neuron differentiation","6","Sult5a1","Nrn1","Dact1"
"Response.to.axon.injury",0.338215001688032,0.227831355322393,-0.110383646365639,34.1162183888293,451.112265828923,5.13770010989504e-127,3.20293329635862e-126,"Response to axon injury","6","Dkk3","Lgals1","Kcnk2"
"Generation.of.neurons",0.215156597012191,0.143884235678429,-0.0712723613337623,41.722642559443,377.729631202134,1.67570856114383e-143,1.71934680492361e-142,"Generation of neurons","6;6;6;8;10;11;15;6","Sult5a1;Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4;Dkk3","Nrn1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Lgals1","Dact1;Npy"
"System.development",0.175751729253864,0.0767653816383559,-0.0989863476155079,44.016194802981,379.840354644676,3.10453234238666e-151,4.93220057621106e-150,"System development","6;10;15;1;10;15;2;3;4;6;6;11;6;6;6;8;10;11;15;6","Hspa1b;Hspa1b;Hspa1b;Adgrl2;Adgrl2;Adgrl2;Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8;Sult5a1;Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4;Dkk3","Gata6;Gata6;Gata6;Rcan1;Rcan1;Rcan1;Itga8;Itga8;Itga8;Itga8;Itga8;Itga8;Nrn1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Lgals1","Itga8;Rhob;Dact1;Kcnk2;Prdx4;Npy"
"Gland.development",0.193664423985173,0.117667663463613,-0.0759967605215602,31.6325001010353,373.183807774539,1.18304088691047e-107,4.81526972564797e-107,"Gland development","6;10;15","Hspa1b;Hspa1b;Hspa1b","Gata6;Gata6;Gata6",NA
"Cardiac.muscle.tissue.development",0.17000078451749,0.187298904143654,0.0172981196261634,22.0058501751801,374.81877459924,1.70422576046491e-69,3.58688541465371e-69,"Cardiac muscle tissue development","6;10;15","Hspa1b;Hspa1b;Hspa1b","Gata6;Gata6;Gata6","Kcnk2"
"Smooth.muscle.tissue.development",0.441098966559243,0.439230829907435,-0.00186813665180809,41.0243396148791,367.444857551485,3.05051802403992e-139,2.78218542007345e-138,"Smooth muscle tissue development","2;3;4;6;6;11","Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8","Itga8;Itga8;Itga8;Itga8;Itga8;Itga8","Itga8"
"Neuron.projection.morphogenesis",0.196434778155752,0.124274621422834,-0.0721601567329183,29.4072830245158,376.377342027319,1.48337866511199e-99,5.03837236253557e-99,"Neuron projection morphogenesis","6","Sult5a1","Nrn1","Dact1"
"Inner.ear.development",0.2222129293001,0.158639551549072,-0.0635733777510276,29.1559089601947,377.39983689358,1.09371018708991e-98,3.6518797772324e-98,"Inner ear development","2;3;4;6;6;11","Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8","Itga8;Itga8;Itga8;Itga8;Itga8;Itga8","Itga8;Kcnk2"
"Anatomical.structure.development",0.178179206507738,0.072495703974724,-0.105683502533014,44.7305753078978,379.746211672278,1.92725870224608e-153,3.45154513038617e-152,"Anatomical structure development","6;10;15;1;10;15;2;3;4;6;6;11;6;6;6;8;10;11;15;6","Hspa1b;Hspa1b;Hspa1b;Adgrl2;Adgrl2;Adgrl2;Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8;Sult5a1;Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4;Dkk3","Gata6;Gata6;Gata6;Rcan1;Rcan1;Rcan1;Itga8;Itga8;Itga8;Itga8;Itga8;Itga8;Nrn1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Lgals1","Dkk3;Itga8;Rhob;Ccl8;Dact1;Kcnk2;Prdx4;Npy"
"Cell.projection.morphogenesis",0.181949335776835,0.118757384306532,-0.0631919514703034,28.5799345907888,379.005908776908,1.34567651915619e-96,4.37455898141534e-96,"Cell projection morphogenesis","6","Sult5a1","Nrn1","Dact1"
"Stem.cell.differentiation",0.105895958805716,0.126362441335067,0.0204664825293509,14.0258448325905,387.444638590822,1.97447995671505e-36,2.79434304219012e-36,"Stem cell differentiation","6;10;15","Hspa1b;Hspa1b;Hspa1b","Gata6;Gata6;Gata6",NA
"Cellular.developmental.process",0.135416849443252,0.033249938867336,-0.102166910575916,39.5194654822052,392.376987764819,7.23203431340032e-139,6.41761603486425e-138,"Cellular developmental process","6;10;15;1;10;15;2;3;4;6;6;11;6;6;6;8;10;11;15;6","Hspa1b;Hspa1b;Hspa1b;Adgrl2;Adgrl2;Adgrl2;Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8;Sult5a1;Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4;Dkk3","Gata6;Gata6;Gata6;Rcan1;Rcan1;Rcan1;Itga8;Itga8;Itga8;Itga8;Itga8;Itga8;Nrn1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Lgals1","Itga8;Rhob;Ccl8;Dact1;Npy"
"Multicellular.organismal.homeostasis",-0.101719145879015,-0.216510875170355,-0.11479172929134,-24.8178555936837,421.589716457671,1.81518500944619e-84,4.96654787306805e-84,"Multicellular organismal homeostasis","6;6;8;10;11;15","Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1",NA
"Chemical.homeostasis",-0.0177518461736268,-0.0947976862775798,-0.077045840103953,-5.41624830155564,456.541867452187,9.86242901119764e-08,1.10517549215355e-07,"Chemical homeostasis","6;6;8;10;11;15;10;15;6","Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4;Sema6a;Sema6a;Dkk3","Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Kcnk3;Kcnk3;Lgals1",NA
"Regulation.of.protein.secretion",-0.0063754268498078,-0.0857076632851341,-0.0793322364353263,-1.0051477967131,424.727261022322,0.315397983103923,0.320275271502438,"Regulation of protein secretion","6;6;8;10;11;15","Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1",NA
"Regulation.of.inflammatory.response",-0.120319688101872,-0.228058708111762,-0.10773902000989,-24.4390046365002,434.707236287698,1.23201134687828e-83,3.31565895266422e-83,"Regulation of inflammatory response","6;6;8;10;11;15","Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1",NA
"Positive.regulation.of.inflammatory.response",-0.123053963235791,-0.254602823012376,-0.131548859776585,-17.1589478373838,432.765439162748,1.01426282009578e-50,1.62183259382199e-50,"Positive regulation of inflammatory response","6;6;8;10;11;15","Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1",NA
"Regulation.of.phagocytosis",-0.0223837066950599,-0.240782142087296,-0.218398435392236,-3.04378761450803,450.781548651016,0.00247285091402397,0.00262191404770033,"Regulation of phagocytosis","6;9;10;14;15","Gbp6;Gbp6;Gbp6;Gbp6;Gbp6","C2;C2;C2;C2;C2",NA
"Positive.regulation.of.phagocytosis",-0.0370298863748266,-0.266179148803526,-0.229149262428699,-4.97448360083857,452.039818028128,9.31179944599206e-07,1.03289667278178e-06,"Positive regulation of phagocytosis","6;9;10;14;15","Gbp6;Gbp6;Gbp6;Gbp6;Gbp6","C2;C2;C2;C2;C2",NA
"Regulation.of.immune.response",-0.127907347795492,-0.249691513500417,-0.121784165704926,-30.2443540396617,503.888035506571,2.45084700988624e-115,1.15801182881664e-114,"Regulation of immune response","6;10;15;6;9;10;14;15;6;6;8;10;11;15","Hspa1b;Hspa1b;Hspa1b;Gbp6;Gbp6;Gbp6;Gbp6;Gbp6;Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Gata6;Gata6;Gata6;C2;C2;C2;C2;C2;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1",NA
"Positive.regulation.of.immune.response",-0.128699156726089,-0.244961999256587,-0.116262842530498,-27.881348512032,529.435443300506,5.98986227795783e-106,2.34127553324939e-105,"Positive regulation of immune response","6;9;10;14;15;6;6;8;10;11;15","Gbp6;Gbp6;Gbp6;Gbp6;Gbp6;Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","C2;C2;C2;C2;C2;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1",NA
"Regulation.of.biological.process",0.0886729779581952,-0.0180455118918185,-0.106718489850014,35.6143192368752,426.07457898712,8.39871222019604e-130,5.86718548715823e-129,"Regulation of biological process","6;10;15;6;1;10;15;6;9;10;14;15;2;3;4;6;6;11;10;15;6;6;6;8;10;11;15;6","Hspa1b;Hspa1b;Hspa1b;Dact1;Adgrl2;Adgrl2;Adgrl2;Gbp6;Gbp6;Gbp6;Gbp6;Gbp6;Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8;Ramp2;Ramp2;Sult5a1;Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4;Dkk3","Gata6;Gata6;Gata6;Pcbd1;Rcan1;Rcan1;Rcan1;C2;C2;C2;C2;C2;Itga8;Itga8;Itga8;Itga8;Itga8;Itga8;Pmepa1;Pmepa1;Nrn1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Lgals1","Dkk3;Itga8;Rhob;Ccl8;Hspa1b;Dact1;Kcnk2;Prdx4;Npy"
"Regulation.of.catalytic.activity",0.0237595709090383,-0.0783294853067597,-0.102089056215798,8.48265150420678,438.040825667611,3.41632231387727e-16,4.08383189219553e-16,"Regulation of catalytic activity","1;10;15;6;6;8;10;11;15","Adgrl2;Adgrl2;Adgrl2;Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Rcan1;Rcan1;Rcan1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1","Ccl8;Hspa1b"
"Regulation.of.viral.process",-0.105829876194313,-0.164901608556081,-0.0590717323617676,-12.355982237571,408.742191471739,5.09245968502577e-30,6.87133258869916e-30,"Regulation of viral process","6","Dkk3","Lgals1",NA
"Regulation.of.developmental.process",0.13741492000152,0.0343291217006449,-0.103085798300875,34.790171598957,410.508966813272,1.73513805771463e-124,9.87925425924227e-124,"Regulation of developmental process","6;10;15","Hspa1b;Hspa1b;Hspa1b","Gata6;Gata6;Gata6","Rhob;Ccl8;Dact1;Kcnk2"
"Regulation.of.cellular.process",0.0821716097572145,-0.0229626767920661,-0.105134286549281,33.6128054702442,415.032809636125,1.61740849399927e-120,8.56530842252304e-120,"Regulation of cellular process","6;10;15;6;1;10;15;6;9;10;14;15;2;3;4;6;6;11;10;15;6;6;6;8;10;11;15;6","Hspa1b;Hspa1b;Hspa1b;Dact1;Adgrl2;Adgrl2;Adgrl2;Gbp6;Gbp6;Gbp6;Gbp6;Gbp6;Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8;Ramp2;Ramp2;Sult5a1;Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4;Dkk3","Gata6;Gata6;Gata6;Pcbd1;Rcan1;Rcan1;Rcan1;C2;C2;C2;C2;C2;Itga8;Itga8;Itga8;Itga8;Itga8;Itga8;Pmepa1;Pmepa1;Nrn1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Lgals1","Dkk3;Itga8;Rhob;Ccl8;Hspa1b;Dact1;Kcnk2;Prdx4;Npy"
"Regulation.of.behavior",0.0635862312381097,0.00486366567727555,-0.0587225655608341,5.47305265292372,384.173931557102,7.99778754162976e-08,8.98269182269705e-08,"Regulation of behavior","6;6;8;10;11;15","Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1",NA
"Regulation.of.insulin.secretion",-0.0479613978264386,-0.0602292294571082,-0.0122678316306696,-6.22282439659781,403.234244190262,1.22460357745177e-09,1.40259828347673e-09,"Regulation of insulin secretion","6;6;8;10;11;15","Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1",NA
"Ion.homeostasis",-0.0616759188982555,-0.105053893656557,-0.0433779747583018,-17.8289276075129,409.274418845341,4.95715407655356e-53,8.13799460900876e-53,"Ion homeostasis","6;6;8;10;11;15;10;15","Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4;Sema6a;Sema6a","Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Kcnk3;Kcnk3",NA
"Modulation.of.chemical.synaptic.transmission",-0.00584336986111311,0.0191031386242303,0.0249465084853434,-1.127654540065,399.290729204486,0.260142993028905,0.264711619972595,"Modulation of chemical synaptic transmission","6;6;6;8;10;11;15","Sult5a1;Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Nrn1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1",NA
"Positive.regulation.of.synaptic.transmission",0.0195888803335896,0.0705680490916216,0.0509791687580319,2.76272084625758,393.909097344823,0.00600085229334893,0.00630153465772782,"Positive regulation of synaptic transmission","6;6;8;10;11;15","Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1",NA
"Regulation.of.calcium.mediated.signaling",-0.0995690974064142,-0.233491039266628,-0.133921941860214,-13.7811973863306,431.807009551543,4.56462030233714e-36,6.41391012525262e-36,"Regulation of calcium-mediated signaling","1;10;15","Adgrl2;Adgrl2;Adgrl2","Rcan1;Rcan1;Rcan1",NA
"Regulation.of.T.cell.activation",-0.168424252947381,-0.271306095975835,-0.102881843028454,-37.4846895690398,484.242992384472,2.94679367336286e-145,3.18966128380485e-144,"Regulation of T cell activation","6","Dkk3","Lgals1",NA
